time,temperature,windspeed,winddirection
2026-03-13T00:00,14.4,9.0,29
2026-03-13T01:00,13.9,9.6,34
2026-03-13T02:00,13.7,8.9,32
2026-03-13T03:00,13.6,9.7,39
2026-03-13T04:00,13.5,10.2,45
2026-03-13T05:00,13.9,11.4,55
2026-03-13T06:00,16.1,12.9,60
2026-03-13T07:00,18.2,11.8,59
2026-03-13T08:00,20.7,11.7,56
2026-03-13T09:00,21.9,13.4,63
2026-03-13T10:00,23.4,14.1,71
2026-03-13T11:00,24.4,13.5,65
2026-03-13T12:00,24.7,14.2,69
2026-03-13T13:00,25.1,17.1,72
2026-03-13T14:00,25.8,9.3,103
2026-03-13T15:00,25.1,15.1,93
2026-03-13T16:00,24.8,8.0,100
2026-03-13T17:00,23.7,2.0,315
2026-03-13T18:00,25.3,21.4,167
2026-03-13T19:00,25.0,12.3,159
2026-03-13T20:00,24.4,10.2,148
2026-03-13T21:00,25.0,18.9,171
2026-03-13T22:00,24.7,18.1,174
2026-03-13T23:00,23.7,17.7,186
2026-03-14T00:00,22.5,16.0,189
2026-03-14T01:00,21.1,12.3,183
2026-03-14T02:00,20.4,16.3,186
2026-03-14T03:00,19.6,13.4,186
2026-03-14T04:00,19.2,13.2,191
2026-03-14T05:00,18.6,10.1,207
2026-03-14T06:00,18.8,12.2,199
2026-03-14T07:00,20.0,12.6,207
2026-03-14T08:00,21.5,14.5,222
2026-03-14T09:00,22.6,14.2,240
2026-03-14T10:00,23.8,15.4,249
2026-03-14T11:00,24.3,15.6,241
2026-03-14T12:00,23.8,18.2,245
2026-03-14T13:00,23.0,15.8,240
2026-03-14T14:00,22.1,13.2,259
2026-03-14T15:00,21.7,12.4,262
2026-03-14T16:00,21.5,11.6,277
2026-03-14T17:00,19.1,14.7,301
2026-03-14T18:00,17.6,12.6,307
2026-03-14T19:00,16.5,9.7,309
2026-03-14T20:00,15.5,7.4,309
2026-03-14T21:00,14.8,5.2,304
2026-03-14T22:00,14.1,5.0,300
2026-03-14T23:00,13.6,6.0,303
2026-03-15T00:00,13.1,5.2,304
2026-03-15T01:00,12.7,3.2,297
2026-03-15T02:00,12.5,1.1,288
2026-03-15T03:00,12.5,1.5,225
2026-03-15T04:00,12.4,3.7,191
2026-03-15T05:00,12.6,2.2,189
2026-03-15T06:00,14.1,4.4,215
2026-03-15T07:00,16.0,6.1,270
2026-03-15T08:00,17.1,6.9,279
2026-03-15T09:00,18.5,7.9,267
2026-03-15T10:00,19.9,9.5,259
2026-03-15T11:00,21.3,10.9,261
2026-03-15T12:00,21.8,10.8,270
2026-03-15T13:00,21.7,11.5,272
2026-03-15T14:00,21.5,11.7,279
2026-03-15T15:00,21.1,9.6,283
2026-03-15T16:00,20.3,8.9,297
2026-03-15T17:00,19.1,5.9,313
2026-03-15T18:00,17.9,8.2,331
2026-03-15T19:00,16.6,9.3,344
2026-03-15T20:00,15.4,6.6,351
2026-03-15T21:00,14.4,4.1,15
2026-03-15T22:00,13.7,2.9,30
2026-03-15T23:00,13.1,2.5,45
