time;temperature;windspeed;winddirection;date;hour;temp_category;wind_mps
2026-03-13T00:00;14.4;9.0;29;2026-03-13;0;Cold;2.5
2026-03-13T01:00;13.9;9.6;34;2026-03-13;1;Cold;2.6666667726304794
2026-03-13T02:00;13.7;8.9;32;2026-03-13;2;Cold;2.472222116258409
2026-03-13T03:00;13.6;9.7;39;2026-03-13;3;Cold;2.694444391462538
2026-03-13T04:00;13.5;10.2;45;2026-03-13;4;Cold;2.8333332803514266
2026-03-13T05:00;13.9;11.4;55;2026-03-13;5;Cold;3.1666665607028537
2026-03-13T06:00;16.1;12.9;60;2026-03-13;6;Warm;3.58333322736952
2026-03-13T07:00;18.2;11.8;59;2026-03-13;7;Warm;3.277777830759684
2026-03-13T08:00;20.7;11.7;56;2026-03-13;8;Warm;3.2499999470180936
2026-03-13T09:00;21.9;13.4;63;2026-03-13;9;Warm;3.722222116258409
2026-03-13T10:00;23.4;14.1;71;2026-03-13;10;Warm;3.9166667726304794
2026-03-13T11:00;24.4;13.5;65;2026-03-13;11;Warm;3.75
2026-03-13T12:00;24.7;14.2;69;2026-03-13;12;Warm;3.944444391462538
2026-03-13T13:00;25.1;17.1;72;2026-03-13;13;Hot;4.750000105963813
2026-03-13T14:00;25.8;9.3;103;2026-03-13;14;Hot;2.58333338631524
2026-03-13T15:00;25.1;15.1;93;2026-03-13;15;Hot;4.1944445504082575
2026-03-13T16:00;24.8;8.0;100;2026-03-13;16;Warm;2.2222222222222223
2026-03-13T17:00;23.7;2.0;315;2026-03-13;17;Warm;0.5555555555555556
2026-03-13T18:00;25.3;21.4;167;2026-03-13;18;Hot;5.944444338480632
2026-03-13T19:00;25.0;12.3;159;2026-03-13;19;Hot;3.416666719648573
2026-03-13T20:00;24.4;10.2;148;2026-03-13;20;Warm;2.8333332803514266
2026-03-13T21:00;25.0;18.9;171;2026-03-13;21;Hot;5.249999894036187
2026-03-13T22:00;24.7;18.1;174;2026-03-13;22;Warm;5.0277778837415905
2026-03-13T23:00;23.7;17.7;186;2026-03-13;23;Warm;4.916666878594293
2026-03-14T00:00;22.5;16.0;189;2026-03-14;0;Warm;4.444444444444445
2026-03-14T01:00;21.1;12.3;183;2026-03-14;1;Warm;3.416666719648573
2026-03-14T02:00;20.4;16.3;186;2026-03-14;2;Warm;4.527777565850152
2026-03-14T03:00;19.6;13.4;186;2026-03-14;3;Warm;3.722222116258409
2026-03-14T04:00;19.2;13.2;191;2026-03-14;4;Warm;3.66666661368476
2026-03-14T05:00;18.6;10.1;207;2026-03-14;5;Warm;2.8055556615193686
2026-03-14T06:00;18.8;12.2;199;2026-03-14;6;Warm;3.3888888359069824
2026-03-14T07:00;20.0;12.6;207;2026-03-14;7;Warm;3.500000105963813
2026-03-14T08:00;21.5;14.5;222;2026-03-14;8;Warm;4.027777777777778
